GO:0070935	3'-UTR-mediated mRNA stabilization
TAO:0005274^OBO_REL:part_of(TAO:0000076)	smooth muscle of swim bladder
GO:0048745	smooth muscle tissue development
GO:0007224	smoothened signaling pathway
GO:0060831	smoothened signaling pathway involved in dorsal/ventral neural tube patterning
GO:0005272	sodium channel activity
GO:0034706^OBO_REL:part_of(TAO:0000175)	sodium channel complex of posterior lateral line nerve
GO:0055078	sodium ion homeostasis
GO:0006814	sodium ion transport
GO:0005890^OBO_REL:part_of(TAO:0000150)	sodium:potassium-exchanging ATPase complex of pronephric duct
GO:0007525	somatic muscle development
TAO:0009307^OBO_REL:part_of(TAO:0000105)	somatic stem cell of epidermis
TAO:0009105^OBO_REL:part_of(TAO:0001260)	somatostatin secreting cell of endocrine pancreas
TAO:0009105^OBO_REL:part_of(TAO:0000032)	somatostatin secreting cell of hypothalamus
TAO:0009155	somatotropin secreting cell
GO:0060126	somatotropin secreting cell differentiation
TAO:0000155	somite
TAO:0000072	somite 1
TAO:0000974	somite 10
TAO:0000725	somite 11
TAO:0000851	somite 12
TAO:0000975	somite 13
TAO:0000726	somite 14
TAO:0000852	somite 15
TAO:0000976	somite 16
TAO:0000727	somite 17
TAO:0000853	somite 18
TAO:0000977	somite 19
TAO:0000728	somite 2
TAO:0000156	somite 20
TAO:0000854	somite 21
TAO:0000978	somite 22
TAO:0000730	somite 23
TAO:0000855	somite 24
TAO:0000980	somite 25
TAO:0000074	somite 26
TAO:0000731	somite 27
TAO:0000856	somite 28
TAO:0000981	somite 29
TAO:0000732	somite 3
TAO:0000157	somite 30
TAO:0000857	somite 4
TAO:0000073	somite 5
TAO:0000982	somite 6
TAO:0000733	somite 7
TAO:0000858	somite 8
TAO:0000983	somite 9
TAO:0001462	somite border
TAO:0001462^OBO_REL:part_of(TAO:0001117)	somite border of post-vent region
TAO:0001462^OBO_REL:part_of(TAO:0000072)	somite border of somite 1
TAO:0001462^OBO_REL:part_of(TAO:0000974)	somite border of somite 10
TAO:0001462^OBO_REL:part_of(TAO:0000725)	somite border of somite 11
TAO:0001462^OBO_REL:part_of(TAO:0000851)	somite border of somite 12
TAO:0001462^OBO_REL:part_of(TAO:0000975)	somite border of somite 13
TAO:0001462^OBO_REL:part_of(TAO:0000726)	somite border of somite 14
TAO:0001462^OBO_REL:part_of(TAO:0000852)	somite border of somite 15
TAO:0001462^OBO_REL:part_of(TAO:0000976)	somite border of somite 16
TAO:0001462^OBO_REL:part_of(TAO:0000727)	somite border of somite 17
TAO:0001462^OBO_REL:part_of(TAO:0000853)	somite border of somite 18
TAO:0001462^OBO_REL:part_of(TAO:0000728)	somite border of somite 2
TAO:0001462^OBO_REL:part_of(TAO:0000732)	somite border of somite 3
TAO:0001462^OBO_REL:part_of(TAO:0000857)	somite border of somite 4
TAO:0001462^OBO_REL:part_of(TAO:0000073)	somite border of somite 5
TAO:0001462^OBO_REL:part_of(TAO:0000982)	somite border of somite 6
TAO:0001462^OBO_REL:part_of(TAO:0000733)	somite border of somite 7
TAO:0001462^OBO_REL:part_of(TAO:0000858)	somite border of somite 8
TAO:0001462^OBO_REL:part_of(TAO:0000983)	somite border of somite 9
TAO:0001462^OBO_REL:part_of(TAO:0001115)	somite border of trunk
GO:0061053	somite development
TAO:0000155^OBO_REL:part_of(TAO:0001117)	somite of post-vent region
TAO:0000155^OBO_REL:part_of(TAO:0001115)	somite of trunk
GO:0032525	somite rostral/caudal axis specification
GO:0001757	somite specification
GO:0001756	somitogenesis
GO:0002075	somitomeric trunk muscle development
TAO:0009006	sperm
TAO:0009006^OBO_REL:part_of(TAO:0001268)	sperm of sperm duct
TAO:0009005	spermatocyte
TAO:0009005^OBO_REL:part_of(TAO:0000598)	spermatocyte of testis
GO:0007283	spermatogenesis
TAO:0001337	spermatogonia
TAO:0001337^OBO_REL:part_of(TAO:0000598)	spermatogonia of testis
TAO:0000075	spinal cord
GO:0021512	spinal cord anterior/posterior patterning
GO:0021510	spinal cord development
GO:0021513	spinal cord dorsal/ventral patterning
GO:0021522	spinal cord motor neuron differentiation
TAO:0007028	spinal cord neural keel
TAO:0007042^OBO_REL:part_of(TAO:0001115)	spinal cord neural tube of trunk
GO:0021529	spinal cord oligodendrocyte cell differentiation
GO:0051225	spindle assembly
GO:0090307	spindle assembly involved in mitosis
GO:0005819^OBO_REL:part_of(CARO:0000013)	spindle of cell
GO:0005819^OBO_REL:part_of(TAO:0001289)	spindle of ciliary marginal zone
GO:0005819^OBO_REL:part_of(TAO:0001117)	spindle of post-vent region
GO:0007051	spindle organization
GO:0031616^OBO_REL:part_of(CARO:0000013)	spindle pole centrosome of cell
GO:0000922^OBO_REL:part_of(TAO:0000098)	spindle pole of proliferative region
TAO:0001216	splanchnocranium
TAO:0000436	spleen
GO:0000387	spliceosomal snRNP assembly
GO:0000245	spliceosome assembly
GO:0002040	sprouting angiogenesis
GO:0001964	startle response
TAO:0000588	statoacoustic (VIII) ganglion
GO:0019827	stem cell maintenance
GO:0002140^OBO_REL:part_of(TAO:0000940)	stereocilia tip link of posterior lateral line neuromast
GO:0032421^OBO_REL:part_of(TAO:0000619)	stereocilium bundle of anterior crista
GO:0032421^OBO_REL:part_of(TAO:0009121)	stereocilium bundle of auditory receptor cell
GO:0032421^OBO_REL:part_of(TAO:0000281)	stereocilium bundle of hair cell posterior macula
GO:0032421^OBO_REL:part_of(TAO:0000386)	stereocilium bundle of macula
GO:0032420^OBO_REL:part_of(TAO:0000678)	stereocilium of hair cell anterior macula
GO:0032420^OBO_REL:part_of(TAO:0009367)	stereocilium of neuromast hair cell
GO:0032420^OBO_REL:part_of(TAO:0000940)	stereocilium of posterior lateral line neuromast
TAO:0001290	stomodeum
TAO:0001347	stratum fibrosum et griseum superficiale
GO:0055002	striated muscle cell development
GO:0051146	striated muscle cell differentiation
GO:0006941	striated muscle contraction
GO:0071688	striated muscle myosin thick filament assembly
GO:0005863^OBO_REL:part_of(TAO:0000009)	striated muscle myosin thick filament of cardiac ventricle
GO:0005863^OBO_REL:part_of(TAO:0009117)	striated muscle myosin thick filament of fast muscle cell
GO:0005863^OBO_REL:part_of(TAO:0001056)	striated muscle myosin thick filament of myotome
GO:0005863^OBO_REL:part_of(TAO:0009115)	striated muscle myosin thick filament of skeletal muscle cell
GO:0005863^OBO_REL:part_of(TAO:0009116)	striated muscle myosin thick filament of slow muscle cell
GO:0005865^OBO_REL:part_of(TAO:0009117)	striated muscle thin filament of fast muscle cell
GO:0005865^OBO_REL:part_of(TAO:0005145)	striated muscle thin filament of muscle
GO:0005865^OBO_REL:part_of(TAO:0001056)	striated muscle thin filament of myotome
GO:0005865^OBO_REL:part_of(TAO:0005277)	striated muscle thin filament of skeletal muscle
GO:0005865^OBO_REL:part_of(TAO:0009116)	striated muscle thin filament of slow muscle cell
GO:0005865^OBO_REL:part_of(TAO:0000473)	striated muscle thin filament of trunk musculature
GO:0014706	striated muscle tissue development
TAO:0005035	subintestinal vein
GO:0006931	substrate-dependent cell migration, cell attachment to substrate
GO:0051923	sulfation
TAO:0001484^OBO_REL:part_of(TAO:0000086)	superficial blastomere of EVL
TAO:0001572	superior cervical ganglion
TAO:0002244	supraoptic tract
TAO:0000691	supraorbital bone
VSAO:0000001	surface structure
TAO:0000076	swim bladder
TAO:0005335	swim bladder bud
GO:0048794	swim bladder development
GO:0048797	swim bladder formation
GO:0048798	swim bladder inflation
GO:0048795	swim bladder morphogenesis
TAO:0001556	sympathetic chain ganglion
TAO:0001576	sympathetic nervous system
TAO:0000692	symplectic
GO:0007416	synapse assembly
GO:0060074	synapse maturation
GO:0045202^OBO_REL:part_of(TAO:0009154)	synapse of eye photoreceptor cell
GO:0045202^OBO_REL:part_of(TAO:0009367)	synapse of neuromast hair cell
GO:0045202^OBO_REL:part_of(TAO:0001330)	synapse of retinal outer plexiform layer
GO:0050808	synapse organization
GO:0007129	synapsis
GO:0051124	synaptic growth at neuromuscular junction
GO:0007268	synaptic transmission
GO:0007271	synaptic transmission, cholinergic
GO:0060012	synaptic transmission, glycinergic
GO:0034592^OBO_REL:part_of(TAO:0009367)	synaptic vesicle lumen of neuromast hair cell
GO:0016188	synaptic vesicle maturation
GO:0008021^OBO_REL:part_of(TAO:0001155)	synaptic vesicle of enteric nervous system
GO:0008021^OBO_REL:part_of(TAO:0009366)	synaptic vesicle of hair cell
GO:0008021^OBO_REL:part_of(TAO:0009367)	synaptic vesicle of neuromast hair cell
GO:0008021^OBO_REL:part_of(TAO:0009125)	synaptic vesicle of olfactory receptor cell
GO:0008021^OBO_REL:part_of(TAO:0000152)	synaptic vesicle of retina
GO:0071911	synchronous neurotransmitter secretion
GO:0000768	syncytium formation by plasma membrane fusion
TAO:0005182	t-interneuron
GO:0009304	tRNA transcription
TAO:0000077	tail bud
TAO:0005037	tail vasculature
GO:0042330	taxis
TAO:0000159	tectal ventricle
GO:0043676^OBO_REL:part_of(TAO:0001094)	tectum of body
TAO:0000160	tegmentum
TAO:0000447	tela chorioidea
TAO:0000597	telencephalic tracts
TAO:0000696	telencephalic ventricle
TAO:0000079	telencephalon
GO:0021537	telencephalon development
GO:0003720	telomerase activity
GO:0014802^OBO_REL:part_of(TAO:0009115)	terminal cisterna of skeletal muscle cell
TAO:0000598	testis
ZFA:0005565	tether cell
TAO:0001215	thalamus
GO:0021794	thalamus development
GO:0001966	thigmotaxis
TAO:0000161	third ventricle
TAO:0005110	thoracic duct
TAO:0009323	thrombocyte
GO:0071892	thrombocyte activation
GO:0002574	thrombocyte differentiation
GO:0072679	thymocyte migration
TAO:0001078	thymus
GO:0048538	thymus development
TAO:0001072	thyroid follicle
GO:0030878	thyroid gland development
TAO:0009210	thyroid hormone secreting cell
TAO:0001081	thyroid primordium
TAO:0009218	thyroid stimulating hormone secreting cell
GO:0060129	thyroid-stimulating hormone-secreting cell differentiation
GO:0005923^OBO_REL:part_of(TAO:0000086)	tight junction of EVL
GO:0005923^OBO_REL:part_of(TAO:0000001)	tight junction of Kupffer's vesicle
GO:0005923^OBO_REL:part_of(TAO:0009036)	tight junction of blood vessel endothelial cell
GO:0005923^OBO_REL:part_of(TAO:0005257)	tight junction of blood vessel endothelium
GO:0005923^OBO_REL:part_of(TAO:0001094)	tight junction of body
GO:0005923^OBO_REL:part_of(TAO:0009316)	tight junction of cardiac muscle cell
GO:0005923^OBO_REL:part_of(TAO:0001320)	tight junction of endocardium
GO:0005923^OBO_REL:part_of(TAO:0009183)	tight junction of epidermal cell
GO:0005923^OBO_REL:part_of(TAO:0000112)	tight junction of gut
GO:0005923^OBO_REL:part_of(TAO:0001054)	tight junction of lateral dorsal aorta
GO:0005923^OBO_REL:part_of(TAO:0009306)	tight junction of neuroepithelial cell
GO:0016271	tissue death
GO:0009888	tissue development
GO:0042246	tissue regeneration
GO:0034505	tooth mineralization
TAO:0001508	trabecula communis
TAO:0001507	trabecula cranii
TAO:0005059	trabecular layer
TAO:0001366	tract of the postoptic commissure
GO:0006366	transcription from RNA polymerase II promoter
GO:0019226	transmission of nerve impulse
TAO:0000295	trigeminal ganglion
TAO:0001365	trigeminal motor nuclei
TAO:0000080	trigeminal neural crest
TAO:0000162	trigeminal placode
TAO:0000450	trochlear motor nucleus
TAO:0001115	trunk
TAO:0000081	trunk mesenchyme
TAO:0000473	trunk musculature
TAO:0001024	trunk neural crest
TAO:0009004	trunk neural crest cell
TAO:0001115^OBO_REL:part_of(TAO:0000303)	trunk of female
GO:0035290	trunk segmentation
TAO:0005024	trunk vasculature
GO:0032023	trypsinogen activation
GO:0035148	tube formation
GO:0019799	tubulin N-acetyltransferase activity
GO:0070740	tubulin-glutamic acid ligase activity
GO:0070738	tubulin-glycine ligase activity
GO:0003309	type B pancreatic cell differentiation
GO:0045098^OBO_REL:part_of(TAO:0009116)	type III intermediate filament of slow muscle cell
TAO:0001570	unfertilized egg
GO:0009826	unidimensional cell growth
BSPO:0000031^OBO_REL:part_of(TAO:0001455)	upper region of scapulocoracoid cartilage
TAO:0001442	upper rhombic lip
GO:0015840	urea transport
TAO:0000602	uroneural
GO:0004853	uroporphyrinogen decarboxylase activity
TAO:0000158	urostyle
TAO:0000700	utricle
TAO:0005327	vH ionocyte
GO:0000220^OBO_REL:part_of(TAO:0009367)	vacuolar proton-transporting V-type ATPase, V0 domain of neuromast hair cell
GO:0000221^OBO_REL:part_of(TAO:0005325)	vacuolar proton-transporting V-type ATPase, V1 domain of integument ionocyte
GO:0000221^OBO_REL:part_of(TAO:0009367)	vacuolar proton-transporting V-type ATPase, V1 domain of neuromast hair cell
GO:0005773^OBO_REL:part_of(CL:0000138)	vacuole of chondrocyte
GO:0005773^OBO_REL:part_of(TAO:0001285)	vacuole of intersegmental vessel
GO:0005773^OBO_REL:part_of(VSAO:0000032)	vacuole of notochord
GO:0005773^OBO_REL:part_of(TAO:0009115)	vacuole of skeletal muscle cell
GO:0007033	vacuole organization
TAO:0007067	vagal ganglion
TAO:0000297	vagal lobe
TAO:0009181	vascular associated smooth muscle cell
TAO:0005077	vascular cord
TAO:0002171	vascular endothelium
GO:0001944	vasculature development
GO:0001570	vasculogenesis
GO:0048845	venous blood vessel morphogenesis
TAO:0000604	ventral aorta
TAO:0001069	ventral fin fold
TAO:0001402	ventral hyoid arch
TAO:0005222	ventral larval melanophore stripe
TAO:0005222^OBO_REL:part_of(TAO:0001117)	ventral larval melanophore stripe of post-vent region
TAO:0001201	ventral lateral mesoderm
TAO:0001273	ventral mandibular arch
TAO:0000164	ventral mesenchyme
TAO:0000861	ventral oblique extraocular muscle
TAO:0000457	ventral rectus
BSPO:0000084^OBO_REL:part_of(TAO:0001205)	ventral region of Meckel's cartilage
BSPO:0000084^OBO_REL:part_of(TAO:0001094)	ventral region of body
BSPO:0000084^OBO_REL:part_of(TAO:0000008)	ventral region of brain
BSPO:0000084^OBO_REL:part_of(VSAO:0000164)	ventral region of caudal fin
BSPO:0000084^OBO_REL:part_of(TAO:0000012)	ventral region of central nervous system
BSPO:0000084^OBO_REL:part_of(TAO:0000100)	ventral region of cerebellum
BSPO:0000084^OBO_REL:part_of(TAO:0000101)	ventral region of diencephalon
BSPO:0000084^OBO_REL:part_of(CARO:0000066)	ventral region of epithelium
BSPO:0000084^OBO_REL:part_of(TAO:0000107)	ventral region of eye
BSPO:0000084^OBO_REL:part_of(TAO:0000022)	ventral region of floor plate
BSPO:0000084^OBO_REL:part_of(TAO:0000109)	ventral region of forebrain
BSPO:0000084^OBO_REL:part_of(TAO:0000128)	ventral region of midbrain
BSPO:0000084^OBO_REL:part_of(TAO:0001117)	ventral region of post-vent region
BSPO:0000084^OBO_REL:part_of(TAO:0000151)	ventral region of pronephros
BSPO:0000084^OBO_REL:part_of(TAO:0000152)	ventral region of retina
BSPO:0000084^OBO_REL:part_of(TAO:0000144)	ventral region of retinal pigmented epithelium
BSPO:0000084^OBO_REL:part_of(TAO:0000075)	ventral region of spinal cord
BSPO:0000084^OBO_REL:part_of(TAO:0000077)	ventral region of tail bud
BSPO:0000084^OBO_REL:part_of(TAO:0001115)	ventral region of trunk
BSPO:0000084^OBO_REL:part_of(TAO:0005222)	ventral region of ventral larval melanophore stripe
BSPO:0000084^OBO_REL:part_of(TAO:0000084)	ventral region of yolk
BSPO:0000068^OBO_REL:part_of(VSAO:0000164)	ventral side of caudal fin
BSPO:0000068^OBO_REL:part_of(TAO:0000107)	ventral side of eye
GO:0021514	ventral spinal cord interneuron differentiation
GO:0021521	ventral spinal cord interneuron specification
TAO:0000304	ventral telencephalon
TAO:0000458	ventral thalamus
TAO:0001137	ventral tooth row
TAO:0000608	ventral transverse
TAO:0005028	ventral wall of dorsal aorta
BSPO:0000039^OBO_REL:part_of(TAO:0000890)	ventral-most of floor plate spinal cord
GO:0055015	ventricular cardiac muscle cell development
GO:0055012	ventricular cardiac muscle cell differentiation
GO:0055005	ventricular cardiac myofibril development
TAO:0002247	ventricular endocardium
TAO:0005061	ventricular myocardium
TAO:0001261	ventricular system
GO:0021591	ventricular system development
TAO:0001083	ventricular zone
TAO:0001083^OBO_REL:part_of(TAO:0000079)	ventricular zone of telencephalon
BSPO:0000085^OBO_REL:part_of(TAO:0001117)	ventro-lateral region of post-vent region
BSPO:0000085^OBO_REL:part_of(TAO:0001115)	ventro-lateral region of trunk
TAO:0000708	ventrolateral optic tract
TAO:0001189	vertebra
TAO:0001167	vertebra 1
TAO:0001168	vertebra 2
TAO:0005033	vertebral artery
VSAO:0000183	vertebral centrum
VSAO:0000185	vertebral column
